Product,Name,Product ISIN,Product Line,Product Type,Product Type Symbol,Liquidity Class,Trading Environment,Partition,Currency,US Approval Type,Settlement Type,Contract Size,Tick Size,Tick Value,Max Order Qty (TSL),Max TES Qty (TSL),Max Future Spread Qty (TSL),Max Market Order Qty,Position Limit,Pre Trade Limits,Underlying,Underlying ISIN,Underlying Name,Underlying Category
TBBV,TRF ON BBVA,DE000A2X1Y65,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BOY,ES0113211835,BCO.BIL.VIZ.ARG.,STOCK_EQUITIES
TBCP,TRF ON BANCO COMERCIAL PORT.,DE000A2X1Y73,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BCP,PTBCP0AM0015,BANCO COMERCIAL PORTUGUE,STOCK_EQUITIES
TBDS,TRF ON Banco de Sabadell S.A.,DE000A2X1Y81,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BDS,ES0113860A34,BDS,STOCK_EQUITIES
TBEI,TRF ON Beiersdorf AG,DE000A2X1ZF9,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BEI,DE0005200000,BEIERSDORF AG,STOCK_EQUITIES
TBIM,TRF ON bioMerieux,DE000A2X1ZG7,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BIM,FR0013280286,BIOMERIEUX,STOCK_EQUITIES
TBIR,TRF ON Bank of Ireland,DE000A2X1ZA0,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BIR,IE00BD1RP616,BANK OF IRELAND GROUP PL,STOCK_EQUITIES
TBMW,TRF ON BMW AG,DE000A2X1ZH5,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BMW,DE0005190003,BMW AG,STOCK_EQUITIES
TBNP,TRF ON BNP Paribas S.A.,DE000A2X1ZJ1,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BNP,FR0000131104,BNP PARIBAS,STOCK_EQUITIES
TBNR,TRF ON Brenntag AG,DE000A2X1ZL7,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BNR,DE000A1DAHH0,BRENNTAG AG,STOCK_EQUITIES
TBOS,TRF ON HUGO BOSS AG,DE000A2X11N8,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BVS,DE000A1PHFF7,HUGO BOSS AG,STOCK_EQUITIES
TBPV,TRF ON Banco BPM S.p.A.,DE000A2X1Y57,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BPV,IT0005218380,BANCO BPM,STOCK_EQUITIES
TBSD,TRF ON Banco Santander S.A.,DE000A2X1Y99,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BSD2,ES0113900J37,BANCO SANTANDER SA,STOCK_EQUITIES
TBSN,TRF ON Danone S.A.,DE000A2X1Z15,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BSN,FR0000120644,DANONE,STOCK_EQUITIES
TBVI,TRF ON Bureau Veritas SA,DE000A2X1ZM5,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BVI,FR0006174348,BUREAU VERITAS,STOCK_EQUITIES
